q2_2020,q3_2020,q4_2020,q1_2021,q2_2021,q3_2021,q4_2021,q1_2022,q2_2022,q3_2022,q4_2022,q1_2023,q2_2023,q3_2023,q4_2023,q1_2024,q2_2024,q3_2024,q4_2024,q1_2025
ACB,ACB,ACB,ACB,ACB,ABB,ACB,ACB,ACB,ACB,ACB,ACB,AAA,ACB,ABW,ABW,AAA,ACB,ABB,ACB
AGR,AGR,AGR,AGR,AGG,ACB,AGR,AGR,AGG,AGR,AGR,AGR,ACB,AGR,ACB,ACB,ABW,AGR,ACB,AGR
ANV,ANV,ANV,ANV,AGR,AGR,ANV,ANV,AGR,ANV,ANV,ANV,AGR,ANV,AGR,AGR,ACB,ANV,AGR,ANV
ASM,ASM,APH,ASM,ANV,ANV,APG,APG,ANV,ASM,APG,APG,ANV,BCG,ANV,ANV,AGR,BCG,ANV,APH
BCG,BCG,ASM,BCG,BCG,APG,BCG,BCG,ASM,BCG,BCG,BCG,APH,BID,APG,APG,ANV,BFC,BCG,BAF
BID,BID,BCG,BID,BCM,BCG,BID,BID,BAF,BFC,BCM,BID,BCG,BOT,BCG,ASM,APG,BID,BID,BCG
BVS,BVS,BFC,BVS,BID,BFC,BMC,BSI,BCG,BID,BID,BOT,BID,BVS,BID,BCG,ASM,BSR,BMP,BCM
C4G,C4G,BID,C4G,BSR,BID,BSI,BVS,BFC,BMC,BMC,BSI,BSI,C4G,BSI,BFC,BCG,BVS,BOT,BID
CEO,CEO,BVS,CEO,BVS,BSI,BVS,C4G,BID,BSR,BSI,BVS,BSR,CEO,BSR,BID,BFC,C4G,BVS,BMC
CMG,CMG,C4G,CMG,C4G,BVS,C4G,CEO,BVS,BVS,BVS,C4G,BVS,CMG,BVS,BSI,BID,CEO,C4G,BMP
CSV,CSV,CEO,CRE,CEO,C4G,CEO,CII,C4G,C4G,C4G,CEO,C4G,CSV,C4G,BVS,BMC,CKG,CEO,BSI
CTG,CTG,CMG,CSV,CMG,CEO,CKG,CMG,CEO,CEO,CEO,CMG,CEO,CTG,CEO,C4G,BMP,CMG,CII,BSR
CTR,CTR,CSV,CTG,CSV,CKG,CMG,CSV,CII,CMG,CII,CMX,CMG,CTR,CII,CEO,BOT,CSV,CKG,BVS
CTS,CTS,CTG,CTR,CTG,CMG,CSV,CTG,CMG,CMX,CKG,CSV,CMX,CTS,CMG,CMG,BSI,CTG,CMG,C4G
DBC,DBC,CTR,CTS,CTR,CSV,CTG,CTR,CMX,CSV,CMG,CTG,CSV,DBC,CSV,CRE,BVS,CTR,CSV,CEO
DCM,DCM,CTS,DBC,CTS,CTG,CTR,CTS,CSV,CTD,CRE,CTR,CTD,DCM,CTG,CSV,C4G,CTS,CTG,CMG
DGC,DGC,D2D,DCM,DBC,CTR,CTS,DBC,CTG,CTG,CSV,CTS,CTG,DGC,CTR,CTD,CEO,DBC,CTR,CRE
DGW,DGW,DBC,DGC,DCM,CTS,DBC,DCM,CTR,CTR,CTG,DBC,CTR,DGW,CTS,CTG,CMG,DCM,CTS,CSV
DIG,DIG,DCM,DGW,DGC,DBC,DCM,DGC,CTS,CTS,CTR,DCM,CTS,DIG,DBC,CTR,CRC,DDV,DBC,CTG
DPG,DPG,DGC,DIG,DGW,DCM,DDV,DGW,D2D,DBC,CTS,DGC,DBC,DL1,DCM,CTS,CSV,DGC,DCM,CTR
DPM,DPM,DGW,DPG,DIG,DDV,DGC,DIG,DBC,DCM,DBC,DGW,DCM,DPG,DDV,DBC,CTG,DGT,DGC,CTS
DPR,DPR,DIG,DPM,DPG,DGC,DGT,DPG,DCM,DDV,DCM,DIG,DGC,DPM,DGC,DCM,CTR,DGW,DGW,DBC
DRC,DRC,DPG,DPR,DPM,DGW,DGW,DPM,DDV,DGC,DGC,DPG,DGW,DPR,DGW,DGC,CTS,DIG,DIG,DCM
DXG,DXG,DPM,DRC,DPR,DIG,DIG,DPR,DGC,DGW,DGW,DPM,DIG,DRC,DIG,DGW,DBC,DL1,DL1,DGC
DXS,DXS,DPR,DRI,DRC,DPG,DL1,DRC,DGW,DIG,DIG,DPR,DPG,DTD,DPG,DIG,DCM,DPG,DPG,DGW
EIB,EIB,DRC,DTD,DXG,DPM,DPG,DXG,DIG,DPG,DPG,DQC,DPM,DXG,DPM,DPG,DDV,DPM,DPM,DIG
EVF,EVF,DXG,DXG,DXS,DPR,DPM,DXS,DPG,DPM,DPM,DRC,DPR,DXS,DPR,DPM,DGC,DPR,DPR,DPG
FCN,FCN,DXS,DXS,EIB,DRC,DPR,EIB,DPM,DPR,DPR,DXG,DRC,EIB,DRC,DPR,DGW,DRC,DRC,DPM
FPT,FMC,EIB,EIB,ELC,DXG,DRC,EVF,DPR,DQC,DRC,DXS,DRI,EVF,DXG,DRC,DIG,DRI,DRI,DPR
FRT,FPT,EVF,EVF,EVF,DXS,DXG,FCN,DQC,DRC,DXG,EIB,DTD,FCN,DXS,DRI,DPG,DTD,DSE,DRC
FTS,FRT,FCN,FCN,FCN,EIB,DXS,FPT,DRC,DRI,DXS,EVF,DXG,FPT,EIB,DTD,DPM,DXG,DXG,DSE
G36,FTS,FMC,FPT,FPT,EVF,EIB,FRT,DRI,DTD,EIB,FCN,DXS,FRT,ELC,DXG,DPR,DXS,DXS,DXG
GEX,G36,FPT,FRT,FRT,FCN,ELC,FTS,DXG,DXG,EVF,FPT,EIB,FTS,EVF,DXS,DRC,EIB,EIB,DXS
GIL,GEX,FRT,FTS,FTS,FPT,EVF,G36,DXS,DXS,FCN,FRT,ELC,G36,FCN,EIB,DRI,ELC,ELC,EIB
GMD,GIL,FTS,G36,G36,FRT,FCN,GEX,EIB,EIB,FPT,FTS,EVF,GEX,FMC,ELC,DTD,EVF,EVF,ELC
GVR,GMD,G36,GEX,GEX,FTS,FPT,GIL,EVF,ELC,FRT,G36,FCN,GIL,FPT,EVF,DXG,FCN,FCN,EVF
HAG,GVR,GEX,GIL,GIL,G36,FRT,GMD,FCN,EVF,FTS,GEX,FPT,GMD,FRT,FCN,DXS,FOX,FOC,FCN
HAH,HAG,GIL,GMD,GMD,GEX,FTS,GVR,FMC,FCN,G36,GIL,FRT,GVR,FTS,FPT,EIB,FPT,FPT,FOX
HAX,HAH,GMD,GVR,GVR,GIL,G36,HAG,FPT,FMC,GEX,GMD,FTS,HAG,G36,FRT,EVF,FRT,FRT,FPT
HCM,HAX,GVR,HAG,HAG,GMD,GEX,HAH,FRT,FPT,GIL,GVR,G36,HAH,GEX,FTS,FCN,FTS,FTS,FRT
HDB,HCM,HAG,HAH,HAH,GVR,GIL,HAX,FTS,FRT,GMD,HAG,GEX,HAX,GIL,G36,FOX,G36,G36,FTS
HDC,HDB,HAH,HAX,HAX,HAG,GMD,HCM,G36,FTS,GVR,HAH,GIL,HCM,GMD,GEX,FPT,GDA,GDA,G36
HHS,HDC,HAX,HCM,HCM,HAH,GVR,HDB,GEX,G36,HAG,HAX,GMD,HDB,GVR,GIL,FRT,GEX,GEX,GEX
HNG,HHS,HCM,HDB,HDB,HAX,HAG,HDC,GIL,GEX,HAH,HCM,GVR,HDC,HAG,GMD,FTS,GIL,GIL,GIL
HPG,HNG,HDB,HDC,HDC,HCM,HAH,HHS,GMD,GIL,HAX,HDB,HAG,HHS,HAH,GVR,G36,GMD,GMD,GMD
HQC,HPG,HDC,HHS,HHS,HDB,HAX,HNG,GVR,GMD,HCM,HDC,HAH,HNG,HAX,HAG,GEX,GVR,GVR,GVR
HSG,HQC,HHS,HNG,HNG,HDC,HCM,HPG,HAG,GVR,HDB,HHS,HAX,HPG,HCM,HAH,GIL,HAG,HAG,HAG
HUT,HSG,HNG,HPG,HPG,HHS,HDB,HQC,HAH,HAG,HDC,HNG,HCM,HSG,HDB,HAX,GMD,HAH,HAH,HAH
HVH,HUT,HPG,HSG,HQC,HNG,HDC,HSG,HAX,HAH,HHS,HPG,HDB,IDC,HDC,HCM,GVR,HAX,HAX,HAX
IDC,HVH,HSG,HUT,HSG,HPG,HHS,HTN,HCM,HAX,HNG,HQC,HDC,IDI,HHS,HDB,HAG,HCM,HCM,HCM
IDI,IDC,HTN,IDC,HUT,HQC,HNG,HUT,HDB,HCM,HPG,HSG,HHS,IPA,HNG,HDC,HAH,HDB,HDB,HDB
IPA,IDI,IDC,IDI,IDC,HSG,HPG,IDC,HDC,HDB,HSG,HT1,HHV,KBC,HPG,HHS,HAX,HDC,HDC,HDC
KBC,IPA,IDI,IJC,IDI,IDC,HSG,IDI,HHS,HDC,IDC,IDC,HNG,KDH,HSG,HHV,HCM,HHS,HHS,HHS
KDH,KBC,IPA,IPA,IPA,IDI,ICT,IDJ,HNG,HHS,IDI,IDI,HPG,KHG,HTN,HNG,HDB,HNG,HHV,HNG
KHG,KDH,KBC,KBC,KBC,IPA,IDC,IPA,HPG,HNG,IDJ,IDJ,HSG,KSB,HUT,HPG,HDC,HPG,HNG,HPG
KSB,KHG,KDH,KDH,KDH,KBC,IDI,KBC,HSG,HPG,IJC,IJC,HT1,LAS,IDC,HQC,HHS,HSG,HPG,HSG
LAS,KSB,KHG,KHG,KHG,KDH,IDJ,KDH,HT1,HQC,IPA,IPA,HTN,LCG,IDI,HSG,HNG,HVH,HSG,HTN
LCG,LAS,KSB,KSB,KSB,KHG,IPA,KHG,HUT,HSG,KBC,KBC,HVH,LHG,IPA,HUT,HPG,ICT,HT1,HVH
LDG,LCG,LAS,LAS,LAS,KSB,IVS,KSB,IDC,HUT,KDH,KDH,IDC,LPB,IVS,IDC,HSG,IDC,HTN,ICT
LHG,LDG,LCG,LCG,LCG,LAS,KBC,LAS,IDI,IDC,KHG,KHG,IDI,MBB,KBC,IDI,IDC,IDI,IDC,IDC
LPB,LHG,LHG,LHG,LHG,LCG,KDH,LCG,IPA,IDI,KSB,KSB,IDJ,MBS,KDH,IPA,IDI,IDJ,IDI,IDI
MBB,LPB,LPB,LPB,LPB,LHG,KHG,LDG,KBC,IJC,LAS,LAS,IPA,MSN,KHG,IVS,IJC,IPA,IDJ,IPA
MBS,MBB,MBB,MBB,MBB,LPB,KSB,LGL,KDH,IPA,LCG,LCG,KBC,MSR,KSB,KBC,IPA,KBC,IPA,IVS
MSH,MBS,MBS,MBS,MBS,MBB,LAS,LHG,KHG,KBC,LHG,LGL,KDH,MWG,LAS,KDH,IVS,KDH,KBC,KBC
MSN,MSN,MSN,MSN,MSN,MBS,LCG,LPB,KSB,KDH,LPB,LHG,KHG,NHA,LCG,KHG,KBC,KHG,KDH,KDH
MSR,MSR,MSR,MSR,MSR,MSB,LHG,MBB,LAS,KHG,MBB,LPB,KSB,NKG,LGL,KSB,KDH,KSB,KHG,KHG
MWG,MWG,MWG,MWG,MWG,MSN,LPB,MBS,LCG,KSB,MBS,MBB,LAS,NLG,LHG,LAS,KHG,LAS,KOS,KSB
NHA,NHA,NDN,NHA,NHA,MSR,MBB,MSN,LDG,LAS,MSN,MBS,LCG,NTP,LPB,LCG,KSB,LCG,KSB,LAS
NKG,NKG,NHA,NKG,NKG,MWG,MBS,MSR,LHG,LCG,MSR,MSN,LHG,NVL,MBB,LGL,LAS,LHG,LAS,LCG
NLG,NLG,NKG,NLG,NLG,NBC,MSN,MWG,LPB,LGL,MWG,MSR,LPB,ORS,MBS,LHG,LCG,LPB,LCG,LHG
NTP,NTP,NLG,NTP,NTP,NHA,MSR,NHA,MBB,LHG,NHA,MWG,MBB,PAN,MSH,LPB,LHG,MBB,LHG,LPB
NVL,NVL,NTP,NVL,NVB,NKG,MWG,NKG,MBS,LPB,NKG,NBC,MBS,PDR,MSN,MBB,LPB,MBS,LPB,MBB
OGC,OGC,NVL,PAN,NVL,NLG,NBC,NLG,MSN,MBB,NLG,NHA,MSN,PET,MSR,MBS,MBB,MSN,MBB,MBS
PAN,PAN,OGC,PDR,ORS,NTP,NHA,NTP,MSR,MBS,NTP,NKG,MSR,PLX,MWG,MSN,MBS,MSR,MBS,MSN
PC1,PC1,PAN,PET,PAN,NVB,NKG,NVL,MWG,MPC,NVL,NLG,MWG,PVB,NBB,MSR,MSN,MWG,MSB,MSR
PDR,PDR,PDR,PLX,PDR,NVL,NLG,OGC,NBB,MSH,PAN,NTP,NBC,PVD,NDN,MWG,MSR,NHA,MSH,MWG
PET,PET,PET,PVD,PET,ORS,NTP,PAN,NBC,MSN,PDR,NVB,NHA,PVS,NHA,NBB,MWG,NKG,MSN,NHA
PLX,PLX,PLX,PVS,PLX,PAN,NVL,PDR,NHA,MSR,PET,NVL,NKG,REE,NKG,NHA,NBB,NLG,MSR,NKG
PVD,PVB,PVD,REE,PVD,PDR,PAN,PET,NKG,MWG,PLX,OGC,NLG,SAB,NLG,NKG,NDN,NTP,MWG,NLG
PVS,PVD,PVS,SAB,PVS,PET,PDR,PLX,NLG,NBC,PSI,PAN,NTP,SHB,NTP,NLG,NHA,NVL,NHA,NTP
REE,PVS,REE,SHB,REE,PLX,PET,PSI,NTP,NHA,PVB,PC1,NVL,SHS,NVL,NTL,NKG,PAN,NKG,NVL
SAB,REE,S99,SHS,S99,PVD,PLX,PVD,NVB,NKG,PVC,PDR,PAN,SSI,ORS,NTP,NLG,PDR,NLG,OCB
SCR,SAB,SAB,SIP,SAB,PVS,PSI,PVS,NVL,NLG,PVD,PET,PC1,STB,PAN,NVL,NTL,PET,NTP,OGC
SHB,SCR,SHB,SSI,SBS,REE,PVD,REE,OGC,NTL,PVS,PLX,PDR,SZC,PDR,OGC,NTP,PLX,NVB,OIL
SHS,SHB,SHS,STB,SGP,SAB,PVS,SAB,PAN,NTP,REE,PTB,PET,TCB,PET,PAN,NVL,PVB,NVL,PAN
SSI,SHS,SSI,SZC,SHB,SBS,REE,SAM,PC1,NVB,S99,PVC,PLX,TCH,PLX,PC1,ORS,PVD,PAN,PDR
STB,SSI,STB,TCB,SHS,SCR,SAB,SCR,PDR,NVL,SAB,PVD,PTB,TCM,PSI,PDR,PAN,PVS,PDR,PET
SZC,STB,SZC,TCH,SSI,SGP,SHB,SHB,PET,OGC,SCI,PVS,PVC,TPB,PVD,PET,PDR,REE,PET,PLX
TCB,SZC,TCB,TCM,STB,SHB,SHS,SHS,PLX,ORS,SHB,REE,PVD,VCI,PVS,PHR,PET,SAB,PHR,PTB
TCH,TCB,TCH,TPB,SZC,SHS,SSI,SSI,PTB,PAN,SHS,S99,PVS,VDS,REE,PLX,PHR,SAM,PLX,PVB
TCM,TCH,TCM,VCI,TCB,SSI,STB,STB,PVB,PC1,SKG,SAB,QNS,VEA,S99,PVB,PLX,SGP,PVB,PVD
TPB,TCL,TPB,VEA,TCH,STB,SZC,SZC,PVC,PDR,SSI,SBS,REE,VGC,SAB,PVC,PVD,SHB,PVD,PVS
VCI,TCM,VCG,VGC,TCM,SZC,TCB,TCB,PVD,PET,STB,SBT,SAB,VGI,SCI,PVD,PVS,SHS,PVS,REE
VEA,TPB,VCI,VGI,TPB,TCB,TCH,TCH,PVS,PHR,SZC,SHB,SHB,VGS,SGP,PVS,REE,SSI,QNS,S99
VGC,TV2,VEA,VGS,TSC,TCH,TCM,TCM,REE,PLX,TCB,SHS,SHS,VGT,SHB,REE,S99,STB,REE,SAB
VGI,VCI,VGC,VGT,VCI,TCL,TPB,TNI,SAB,PSI,TCH,SSI,SSI,VHC,SHS,SAB,SAB,SZC,SAB,SAM
VGS,VEA,VGI,VHC,VDS,TCM,VCI,TPB,SCR,PTB,TCM,STB,STB,VIB,SSI,SCR,SCI,TCB,SGP,SBT
VGT,VGC,VGS,VIB,VEA,TIG,VDS,TSC,SHB,PVB,TPB,SZC,SZC,VIP,STB,SHB,SHB,TCH,SHB,SCS
VHC,VGI,VGT,VIP,VGC,TPB,VEA,TTN,SHS,PVC,VCB,TCB,TCB,VIX,SZC,SHS,SHS,TCM,SHS,SGP
VIB,VGS,VHC,VIX,VGI,VCB,VGC,VCI,SKG,PVD,VCI,TCH,TCH,VND,TCB,SIP,SIP,TIG,SIP,SHB
VIP,VGT,VIB,VND,VGS,VCI,VGI,VEA,SSI,PVS,VDS,TCM,TCM,VOS,TCH,SSI,SSI,TPB,SSI,SHS
VND,VHC,VIP,VOS,VGT,VDS,VGS,VGC,STB,REE,VEA,TIG,TPB,VPB,TCM,STB,STB,TTN,STB,SIP
VOS,VIB,VIX,VPB,VHC,VEA,VGT,VGI,SZC,SAB,VGC,TPB,VCI,VPG,TPB,SZC,SZC,TV2,SZC,SKG
VPB,VIP,VND,VSC,VIB,VGC,VHC,VGS,TCB,SBS,VGI,VCG,VEA,VPH,TV2,TCB,TCB,VCI,TCB,SSI
VTP,VND,VOS,VTP,VIG,VGI,VIB,VGT,TCH,SBT,VGS,VCI,VGC,VTP,VCG,TCH,TCH,VCS,TCH,STB
,VOS,VPB,,VIP,VGS,VIG,VHC,TCM,SHB,VGT,VCS,VGI,,VCI,TCM,TCM,VDS,TCM,SZC
,VPB,VTP,,VIX,VGT,VIP,VIB,TPB,SHS,VHC,VEA,VGS,,VDS,TIG,TPB,VEA,TPB,TCB
,VTP,,,VND,VHC,VND,VIG,TSC,SSI,VIB,VGC,VGT,,VEA,TPB,VCB,VGC,VCB,TCH
,,,,VOS,VIB,VOS,VIP,VCI,STB,VIG,VGI,VHC,,VGC,TV2,VCI,VGI,VCI,TCM
,,,,VPB,VIG,VPB,VIX,VEA,SZC,VIP,VGS,VIB,,VGI,VCI,VCS,VGS,VDS,TPB
,,,,VTP,VIP,VPH,VND,VGC,TCB,VIX,VGT,VIG,,VGS,VDS,VDS,VGT,VEA,TTN
,,,,,VND,VTP,VOS,VGI,TCH,VND,VHC,VIP,,VGT,VEA,VEA,VHC,VGC,TV2
,,,,,VOS,,VPB,VGS,TCL,VOS,VIB,VND,,VHC,VGC,VGC,VIB,VGI,VCI
,,,,,VPB,,VPH,VGT,TCM,VPB,VIG,VOS,,VIB,VGI,VGI,VIP,VGS,VDS
,,,,,VPG,,VTP,VHC,TPB,VTP,VIP,VPB,,VIG,VGS,VGS,VND,VGT,VEA
,,,,,VTO,,,VIB,TSC,,VND,VTP,,VIP,VGT,VGT,VOS,VHC,VGC
,,,,,VTP,,,VIP,VCI,,VOS,,,VIX,VHC,VHC,VPB,VIB,VGI
,,,,,,,,VND,VDS,,VPB,,,VND,VIB,VIB,VPH,VIC,VGS
,,,,,,,,VOS,VEA,,VPG,,,VOS,VIP,VIG,VTO,VIP,VGT
,,,,,,,,VPB,VGC,,VTP,,,VPB,VIX,VIP,VTP,VND,VHC
,,,,,,,,VPH,VGI,,,,,VPG,VND,VIX,,VNM,VIB
,,,,,,,,VTO,VGS,,,,,VPH,VOS,VND,,VOS,VIG
,,,,,,,,VTP,VGT,,,,,VTP,VPB,VOS,,VPB,VIP
,,,,,,,,,VHC,,,,,,VSC,VPB,,VPG,VND
,,,,,,,,,VIB,,,,,,VTP,VTP,,VPH,VOS
,,,,,,,,,VIG,,,,,,,,,VTP,VPB
,,,,,,,,,VIP,,,,,,,,,,VTO
,,,,,,,,,VND,,,,,,,,,,VTP
,,,,,,,,,VOS,,,,,,,,,,
,,,,,,,,,VPB,,,,,,,,,,
,,,,,,,,,VPG,,,,,,,,,,
,,,,,,,,,VSC,,,,,,,,,,
,,,,,,,,,VTP,,,,,,,,,,
